Round,Total Quantity,Price,Firm 1 Quantity,Firm 2 Quantity,Firm 3 Quantity,Firm 4 Quantity,Firm 5 Quantity,Firm 1 Profit,Firm 2 Profit,Firm 3 Profit,Firm 4 Profit,Firm 5 Profit
27.0,15.399593254975013,37.7750189762264,17.47914408635229,3.1197184187640907,21.884022847454588,95.65749758377238,308.6850048324552,4599.6275857800565,11282.831725460268,5220.758235899315,931.8131109844519,6536.429469945533
28.0,34.38893209727274,37.29597253122205,2.924994358757918,49.94294807948561,29.67233020375569,154.225177270494,191.54964545901203,6243.2984299739055,6771.070590092415,531.0316888021102,9067.124517008458,5387.001028434579
29.0,17.265770468166217,7.30630134233351,41.689753321454184,39.35537771777872,29.338867149877913,134.95606999961055,230.0878600007789,3799.9864736033487,1608.0282269550005,9175.408592479216,8661.640861428257,6457.128485863781
30.0,8.555670073784045,43.90886680978258,43.41011939767454,27.51666522524136,37.87189132384562,161.26321283032814,177.4735743393437,1432.8486481247705,7353.574869824465,7270.047858026233,4608.314279170293,6342.541006995605
31.0,14.717810919027686,28.22043063525833,31.736019891336536,47.69343533414357,22.434929920406265,144.8026267001724,210.3947465996552,2949.371989620192,5655.22604608574,6359.731664206001,9557.513888252743,4495.842096380836
32.0,49.297843812830095,8.798976547108857,17.491322336098857,41.34716691153425,46.03681224335301,162.97212185092508,174.05575629814984,8087.595050581909,1443.5227520856267,2869.5521145034195,6783.240738457588,7552.604050139203
33.0,43.78442051136721,34.208947901767075,37.291973262773965,36.49159528538639,3.9855847437816,155.76252170507624,188.47495658984752,7814.422550077892,6105.440491752234,6655.683309223337,6512.835884453621,711.3270641315796
34.0,26.68060271403791,17.759288794942083,26.605353274332664,22.297027667332692,47.682166670966666,141.024439121612,217.951121756776,5548.261263531065,3693.0640265107486,5532.613058132791,4636.691915263704,9915.560047021076
35.0,15.225958414792313,35.04486959676411,7.530702801943475,14.72018409856935,17.805300523660943,90.32701543573019,319.34596912853965,4710.088861734771,10840.989148394287,2329.592556486213,4553.629615722454,5507.997946116789
36.0,17.859504332118707,15.080530165333634,12.13931084933936,34.93265024426868,12.560475179342665,92.57247077040304,314.8550584591939,5444.560237220275,4597.375905148422,3700.730318629677,10649.395132351103,3829.1243950737626
37.0,10.673288101661853,16.353183054462686,21.20472156705312,42.46012661045071,30.5283515647466,121.21967089837497,257.56065820325006,2642.2862276403257,4048.4047606810177,5249.454828156323,10511.456891076508,7557.618807228888
38.0,23.120251580463467,42.47099365589925,14.82391897319645,17.982490153228017,22.873256964934846,121.27091132772202,257.45817734455596,5721.295315849079,10509.794680101028,3668.2999702105753,4449.91423743423,5660.174478476448
39.0,33.282939788183754,33.23475416257117,3.6097123178593438,6.935202999121947,37.50567234866196,114.56828161639818,270.86343676720367,8682.302058861518,8669.732190961444,941.6419609776972,1809.1408890291693,9783.858587136638
40.0,27.541777134601386,43.16019931761574,38.10327803903201,6.158604952673303,45.792320531046514,160.75617997496897,178.48764005006205,4640.449032193747,7271.960127115375,6419.93139496786,1037.648814476549,7715.440018692031
41.0,30.510504217395262,39.314500807411974,18.229763600443466,37.97144437495497,24.74279904988318,150.76901205008886,198.46197589982228,5750.069910510171,7409.288503680019,3435.617268326234,7156.173434674206,4663.076798233229
42.0,5.316344925126986,30.858034313160843,38.86594715134765,33.51805187979937,42.769918467723635,151.3282967371585,197.343406525683,995.9821685388167,5781.049266913968,7281.278937180634,6279.386019266188,8012.662222569066
43.0,10.063233272290633,7.7930312097304775,15.036604004225056,34.61926886675521,11.174685116876752,78.68682246987814,342.6263550602437,3347.2966034830024,2592.1675661633703,5001.570782409646,11515.281217999362,3716.994779372668
44.0,28.727548097106915,37.78021844472659,26.267689605686357,28.741222152759153,45.9621104114318,167.47878871171082,165.04242257657836,4453.988651660629,5857.5365931427405,4072.6062319552193,4456.1087103754,7126.076944920562
45.0,15.553837011790895,15.354436038836763,31.326744921448725,7.658758660183522,13.11519935714927,83.00897598940917,333.98204802118164,5039.16396966767,4974.561634072574,10149.302977488109,2481.3003160262188,4249.089147935306
46.0,47.93250195179649,19.467383660205606,44.30624247732316,34.57669079886365,41.98971305701555,188.27253194520443,123.45493610959113,5438.178946513923,2208.6707693895255,5026.761909520752,3922.8962454661632,4763.940212143764
47.0,27.005578725844032,8.778713970788017,26.179328204495498,5.0457045124100075,41.53201963861109,108.54134505214864,282.9173098957027,7370.289898033972,2395.863001251288,7144.791828447608,1377.0601020555478,11334.807074305234
48.0,3.939946496853796,29.666125357322443,10.496697120908564,45.7053308960127,19.25892629225311,109.0670261633506,281.8659476732988,1071.137288149251,8065.209284063346,2853.694510215394,12425.723097766197,5235.846247613604
49.0,5.641795982026118,46.9028570351239,42.51944201633957,32.248676246350826,22.17925998242166,149.4920312622621,201.01593747547582,1077.6729485520918,8959.193206842408,8121.891077685239,6160.0111255398115,4236.592138054579
50.0,35.993079875215976,44.68707373700335,36.274648718613626,24.305873815326905,6.280914292778129,147.54159043893802,204.91681912212397,7015.656639685632,8710.2622686925,7070.5391430045975,4737.623610067244,1224.2558351269977
51.0,41.892622290018366,15.334422457944628,19.13701088615502,22.477550808338766,45.70430286456828,144.54590930702506,210.9081813859499,8416.570557776098,3080.810928629523,3844.7820543005305,4515.923854913629,9182.368370033071
52.0,12.638103461638199,27.694982429917374,16.119350271221357,9.992739278496554,5.301046614912535,71.74622205618601,356.507555887628,4379.198341547223,9596.520672141469,5585.476664977486,3462.5596640141403,1836.8527061797263
53.0,9.119696210561806,32.51774760620353,47.54871557094706,31.340396825669185,1.3902337087944134,121.916789922176,256.166420155648,2244.962969061028,8004.777519744013,11704.897095099155,7714.953292832417,342.22885527363036
54.0,25.7834765029562,12.152263937840525,49.58353769180891,35.26908127754247,41.5325465970884,164.3209060072365,171.35818798552702,4160.375048484426,1960.867288931812,8000.709795862366,5690.955046858529,6701.616461330651
55.0,20.434983750719642,7.539263437784971,2.3170444148833456,12.330697054463844,3.85925754878477,46.48124620663657,407.03750758672686,8113.455015960989,2993.3703643778827,919.9535394530294,4895.749225311319,1532.2699983047662
56.0,3.2170977896218735,19.48724434977486,39.737788659409034,42.14063557790634,7.005646243726699,111.5884126204388,276.82317475912237,858.3962457374635,5199.648404713697,10602.96292801057,11244.098171264193,1869.268771990478
57.0,27.20957574462055,6.269244278310442,19.81024057569505,42.369948563187116,27.572064852169976,123.23107401398312,253.53785197203376,6626.56162991524,1526.7982850276878,4824.543436853998,10318.68626124415,6714.841448531086
58.0,13.503891918377004,10.982057942847359,23.139021653561205,43.37186500820523,17.36447854333196,108.36131506632276,283.2773698673545,3690.308066427092,3001.1479103522156,6323.370978788969,11852.549195684272,4745.319025439869
59.0,44.54683006273793,35.1569697665239,6.674697021817808,15.03499721866674,45.06446955891153,146.47796362865793,207.04407274268414,8777.688823338121,6927.472508087282,1315.2094855024452,2962.5570856410227,8879.68661787664
60.0,6.667601515887189,6.224814865318276,12.314827984514208,8.180686795404135,43.27014763100618,76.65807879213,346.68384241574,2244.8736980659114,2095.7945871819743,4146.203604515126,2754.3050638763707,14568.359566303492
61.0,35.98097691937589,25.262692652433522,23.92632734216478,45.211497576831256,24.556074311575262,154.9375688023807,190.1248623952386,6481.068516448839,4550.439037752793,4309.726420130866,8143.714779709393,4423.159506339748
62.0,42.077756361221915,3.4978216506941266,34.55148264263926,17.883890072471683,29.254871832472165,127.26582255949914,245.46835488100172,9907.98006746053,823.6263097560958,8135.780776561752,4211.090174237585,6888.596542646777
63.0,45.2362869631573,2.760515434424785,18.922952730898935,29.41791388001643,47.50147856870103,143.83914757719847,212.32170484560305,9152.28269927091,558.5121889454231,3828.5240572282323,5951.882489206053,9610.580126706469
64.0,14.744410806230174,42.76260323452287,40.58265843194685,47.452916877833935,43.85086690326254,189.3934562537964,121.21308749240723,1639.771449017271,4755.761134924088,4513.322742866582,5277.385396504473,4876.790297530441
65.0,27.030247556081626,7.2087849040276595,25.898189980742526,14.239594176669764,6.114322687122519,80.49113930464411,339.0177213907118,8893.430459528832,2371.817983118942,8520.963455607667,4685.0788295363345,2011.7205183645856
66.0,30.639830342231683,26.13614708485863,15.464281459987866,39.99497366586158,2.42341785975106,114.6586504126908,270.6826991746184,7987.273675865326,6813.2413681057815,4031.2706317856455,10425.997688634578,631.7431089078831
67.0,7.804856014573812,20.580692653118565,46.58557343962919,38.74376548104321,45.41930760305827,159.13419519142303,181.73160961715394,1340.340486212886,3534.3554763559855,8000.215511725654,6653.529208689078,7799.930802369836
68.0,40.347046799187765,14.088610053856982,45.12219243181915,20.504324589641104,34.136531871179905,154.1987057456849,191.60258850863022,7327.128137411341,2558.5280542691403,8194.306944802882,3723.6384210999818,6199.282550513625
69.0,9.484967865214252,44.159676372791466,41.89721816905793,14.238186009302627,48.6962797357571,158.47632815212336,183.04734369575328,1641.3484941149059,7641.714694775681,7250.202312396927,2463.8802679558576,8426.761856138104
70.0,8.963585815127786,10.11499662901888,46.664859917552796,42.884652753936535,37.94141691121866,146.56951202685465,206.8609759462907,1764.5802515443834,1991.2481080820971,9186.489865766387,8442.31459425773,7469.184361927603
71.0,11.851975797984982,5.792234983985528,36.93541605732872,4.041329834261333,3.326381014342121,61.94733768790269,376.1053246241946,4339.07144695939,2120.5680691116386,13522.252485798022,1479.5523708856879,1217.8058010794798
72.0,30.789751954645478,20.619422437202935,18.31302567548592,24.24759252327423,41.15776532356088,135.12755791416944,229.7448841716611,6765.890476947748,4531.012595149709,4024.1937058923095,5328.284410468532,9044.208373790296
